#      mass       lower       upper
 1.0300e-03  1.3641e-05  2.0962e-02
 1.0448e-03  1.3433e-05  1.7829e-02
 1.0567e-03  1.3264e-05  1.7104e-02
 1.0733e-03  1.3025e-05  1.4191e-02
 1.1073e-03  1.2519e-05  1.2590e-02
 1.1169e-03  1.2372e-05  1.1285e-02
 1.1821e-03  1.1328e-05  8.9917e-03
 1.1826e-03  1.1320e-05  8.9699e-03
 1.1830e-03  1.1320e-05  8.9648e-03
 1.1834e-03  1.1321e-05  8.9599e-03
 1.1926e-03  1.1328e-05  8.8569e-03
 1.3305e-03  1.1428e-05  7.1286e-03
 1.3496e-03  1.1442e-05  6.9384e-03
 1.3578e-03  1.1451e-05  6.8558e-03
 1.3683e-03  1.1475e-05  6.7569e-03
 1.4284e-03  1.1594e-05  6.1623e-03
 1.5590e-03  1.1850e-05  5.6645e-03
 1.5591e-03  1.1850e-05  5.6637e-03
 1.6647e-03  1.2095e-05  5.0187e-03
 1.7117e-03  1.2203e-05  4.9038e-03
 1.7898e-03  1.2387e-05  4.7069e-03
 1.8652e-03  1.2563e-05  4.4992e-03
 1.9150e-03  1.2677e-05  4.3637e-03
 2.0550e-03  1.2980e-05  3.9574e-03
 2.1589e-03  1.3136e-05  3.7609e-03
 2.2527e-03  1.3281e-05  3.5740e-03
 2.3595e-03  1.3443e-05  3.3601e-03
 2.4332e-03  1.3549e-05  3.2605e-03
 2.6412e-03  1.3852e-05  2.9615e-03
 2.7092e-03  1.3950e-05  2.8683e-03
 2.7360e-03  1.3986e-05  2.8388e-03
 2.7403e-03  1.3992e-05  2.8343e-03
 2.9334e-03  1.4261e-05  2.6260e-03
 3.0838e-03  1.4468e-05  2.4515e-03
 3.1105e-03  1.4505e-05  2.4192e-03
 3.3307e-03  1.4799e-05  2.2549e-03
 3.4676e-03  1.4979e-05  2.1497e-03
 3.5713e-03  1.5119e-05  2.0665e-03
 3.7300e-03  1.5326e-05  1.9257e-03
 3.8948e-03  1.5538e-05  1.8634e-03
 4.0797e-03  1.5782e-05  1.7911e-03
 4.1004e-03  1.5810e-05  1.7792e-03
 4.3629e-03  1.6192e-05  1.5956e-03
 4.3763e-03  1.6211e-05  1.5857e-03
 4.7079e-03  1.6702e-05  1.4836e-03
 4.8763e-03  1.6935e-05  1.4253e-03
 4.8839e-03  1.6947e-05  1.4226e-03
 5.4054e-03  1.7688e-05  1.2351e-03
 5.4442e-03  1.7745e-05  1.2204e-03
 5.5478e-03  1.7907e-05  1.1801e-03
 5.5811e-03  1.7958e-05  1.1742e-03
 5.8232e-03  1.8340e-05  1.1300e-03
 6.0573e-03  1.8701e-05  1.0702e-03
 6.2063e-03  1.8951e-05  1.0304e-03
 6.7008e-03  1.9902e-05  9.4454e-04
 6.9533e-03  2.0421e-05  8.9753e-04
 7.1258e-03  2.0770e-05  8.6528e-04
 7.3893e-03  2.1290e-05  8.2974e-04
 7.8591e-03  2.2299e-05  7.6229e-04
 8.0144e-03  2.2623e-05  7.4263e-04
 8.1281e-03  2.2873e-05  7.2790e-04
 8.1814e-03  2.3002e-05  7.2088e-04
 8.2082e-03  2.3068e-05  7.1676e-04
 8.2582e-03  2.3188e-05  7.1286e-04
 8.9099e-03  2.4717e-05  6.4518e-04
 9.3937e-03  2.5966e-05  5.8995e-04
 9.7001e-03  2.6866e-05  5.6621e-04
 1.0286e-02  2.8507e-05  5.2093e-04
 1.0584e-02  2.9416e-05  4.9636e-04
 1.0785e-02  3.0087e-05  4.7907e-04
 1.1291e-02  3.1871e-05  4.4969e-04
 1.1460e-02  3.2442e-05  4.4017e-04
 1.2383e-02  3.5533e-05  3.8392e-04
 1.2423e-02  3.5706e-05  3.8222e-04
 1.2468e-02  3.5896e-05  3.8027e-04
 1.2992e-02  3.8517e-05  3.5712e-04
 1.3314e-02  4.0048e-05  3.4327e-04
 1.4218e-02  4.3834e-05  3.0113e-04
 1.4371e-02  4.4402e-05  2.9364e-04
 1.4430e-02  4.4644e-05  2.9068e-04
 1.4567e-02  4.5199e-05  2.8742e-04
 1.4727e-02  4.5967e-05  2.8358e-04
 1.5476e-02  4.9410e-05  2.5729e-04
 1.6256e-02  5.5287e-05  2.2669e-04
 1.6300e-02  5.5600e-05  2.2513e-04
 1.6324e-02  5.5765e-05  2.2416e-04
 1.6411e-02  5.6435e-05  2.2171e-04
 1.6457e-02  5.6936e-05  2.2038e-04
 1.7340e-02  6.4850e-05  1.9348e-04
 1.7778e-02  7.0001e-05  1.7861e-04
 1.7936e-02  7.1777e-05  1.6873e-04
 1.7971e-02  7.2354e-05  1.6644e-04
 1.8175e-02  7.5596e-05  1.6083e-04
 1.8743e-02  8.6242e-05  1.4394e-04
 1.8818e-02  8.8091e-05  1.4134e-04
 1.8844e-02  8.8714e-05  1.4004e-04
 1.8881e-02  8.9625e-05  1.3812e-04
 1.8911e-02  9.0773e-05  1.3654e-04
 1.9132e-02  1.0000e+05  1.0000e+05
 1.9137e-02  1.0000e+05  1.0000e+05
