#      mass       lower       upper
 1.3443e-01  1.0225e-07  9.9689e-07
 1.4888e-01  1.0894e-07  8.4025e-07
 1.4939e-01  1.0919e-07  8.3447e-07
 1.5091e-01  1.0999e-07  8.1676e-07
 1.5242e-01  1.1083e-07  7.9898e-07
 1.5914e-01  1.1422e-07  7.6060e-07
 1.6551e-01  1.1766e-07  7.1084e-07
 1.7094e-01  1.2093e-07  6.6601e-07
 1.8297e-01  1.2836e-07  5.9566e-07
 1.8808e-01  1.3201e-07  5.6360e-07
 1.9626e-01  1.3836e-07  5.1206e-07
 2.0107e-01  1.4608e-07  4.5119e-07
 2.0461e-01  1.5466e-07  4.0049e-07
 2.0739e-01  1.6123e-07  3.7482e-07
 2.1501e-01  1.7046e-07  3.7441e-07
 2.1734e-01  1.7583e-07  3.5895e-07
 2.1860e-01  1.8045e-07  3.4624e-07
 2.2534e-01  2.1448e-07  2.8290e-07
 2.3047e-01  1.0000e+05  1.0000e+05
 2.3429e-01  1.0000e+05  1.0000e+05
 2.3601e-01  1.0000e+05  1.0000e+05
 2.4492e-01  1.0000e+05  1.0000e+05
 2.5211e-01  1.0000e+05  1.0000e+05
 2.5508e-01  1.0000e+05  1.0000e+05
 2.5685e-01  1.0000e+05  1.0000e+05
 2.5872e-01  1.0000e+05  1.0000e+05
 2.7004e-01  1.0000e+05  1.0000e+05
 2.7901e-01  1.0000e+05  1.0000e+05
 2.8018e-01  1.0000e+05  1.0000e+05
 2.8761e-01  1.0000e+05  1.0000e+05
 2.9706e-01  1.0000e+05  1.0000e+05
 2.9967e-01  1.0000e+05  1.0000e+05
 3.0268e-01  1.0000e+05  1.0000e+05
 3.0494e-01  1.0000e+05  1.0000e+05
 3.0700e-01  1.0000e+05  1.0000e+05
 3.1277e-01  1.0000e+05  1.0000e+05
 3.1338e-01  1.0000e+05  1.0000e+05
 3.1532e-01  1.0000e+05  1.0000e+05
 3.1593e-01  1.0000e+05  1.0000e+05
