-2.	-5.972585025207852	-5.60248931488779	-5.601499050346956
-1.5	-5.935260508565617	-5.5647713996235035	-5.560957964175565
-1.	-5.753021526953644	-5.381078811814758	-5.3650576998870605
-0.5	-5.379086479968011	-5.006738071272387	-4.98451693890439
0.	-4.902948280535969	-4.530712223742151	-4.508677384364463
0.5	-4.405632824805616	-4.033414545302401	-4.011441970650549
1.	-3.90590495478815	-3.5336885514489134	-3.5117227336939787
1.5	-3.4059320816856844	-3.033716032363361	-3.0117506440068293
2.	-2.9059350513039384	-2.5337206939904764	-2.5117528287096635
2.5	-2.4059354753846645	-2.033737851562746	-2.011744539792207
3.	-1.9059355154457065	-1.5339051370430075	-1.5116573326087244
