#      mass       lower       upper
 1.0300e-03  1.4400e-05  4.6800e-01
 1.0381e-03  1.4144e-05  4.2825e-01
 1.0449e-03  1.3926e-05  4.1812e-01
 1.0459e-03  1.3893e-05  4.1435e-01
 1.0573e-03  1.3543e-05  3.6876e-01
 1.0638e-03  1.3379e-05  3.4018e-01
 1.0924e-03  1.2633e-05  3.0841e-01
 1.1048e-03  1.2294e-05  2.7021e-01
 1.1276e-03  1.1646e-05  2.5294e-01
 1.1664e-03  1.0757e-05  2.2057e-01
 1.1680e-03  1.0724e-05  2.1911e-01
 1.1700e-03  1.0682e-05  2.1463e-01
 1.1826e-03  1.0416e-05  2.0597e-01
 1.2113e-03  1.0335e-05  1.9859e-01
 1.3114e-03  1.0082e-05  1.7049e-01
 1.3578e-03  9.9629e-06  1.6015e-01
 1.4255e-03  9.9192e-06  1.5168e-01
 1.5453e-03  9.8477e-06  1.3543e-01
 1.5590e-03  9.8396e-06  1.3372e-01
 1.5961e-03  9.8404e-06  1.3021e-01
 1.6445e-03  9.8409e-06  1.2602e-01
 1.7898e-03  9.8439e-06  1.1251e-01
 1.8693e-03  9.8649e-06  1.0757e-01
 1.8849e-03  9.8691e-06  1.0624e-01
 1.9606e-03  9.8884e-06  9.9462e-02
 2.0550e-03  9.9124e-06  9.5835e-02
 2.1541e-03  9.9467e-06  9.1839e-02
 2.3035e-03  9.9955e-06  8.5450e-02
 2.3595e-03  1.0014e-05  8.3017e-02
 2.4577e-03  1.0051e-05  7.9720e-02
 2.4638e-03  1.0053e-05  7.9510e-02
 2.7092e-03  1.0144e-05  7.1189e-02
 2.8003e-03  1.0180e-05  6.8992e-02
 2.8455e-03  1.0198e-05  6.7874e-02
 3.1105e-03  1.0297e-05  6.1168e-02
 3.1878e-03  1.0327e-05  5.9926e-02
 3.5391e-03  1.0456e-05  5.3913e-02
 3.5713e-03  1.0468e-05  5.3339e-02
 3.6260e-03  1.0489e-05  5.2543e-02
 3.6282e-03  1.0490e-05  5.2513e-02
 4.1004e-03  1.0657e-05  4.5588e-02
 4.3736e-03  1.0753e-05  4.2825e-02
 4.3875e-03  1.0757e-05  4.2684e-02
 4.6826e-03  1.0855e-05  3.9572e-02
 4.7079e-03  1.0863e-05  3.9293e-02
 4.7383e-03  1.0873e-05  3.8940e-02
 4.9258e-03  1.0933e-05  3.6681e-02
 5.4054e-03  1.1085e-05  3.4235e-02
 5.4412e-03  1.1096e-05  3.4018e-02
 6.0340e-03  1.1274e-05  3.0340e-02
 6.2063e-03  1.1323e-05  2.9184e-02
 6.7141e-03  1.1469e-05  2.7021e-02
 6.8441e-03  1.1505e-05  2.6455e-02
 7.1258e-03  1.1581e-05  2.5184e-02
 7.7594e-03  1.1750e-05  2.3197e-02
 7.9145e-03  1.1790e-05  2.2684e-02
 8.1814e-03  1.1857e-05  2.1827e-02
 8.3236e-03  1.1893e-05  2.1464e-02
 8.7930e-03  1.2010e-05  2.0264e-02
 9.3937e-03  1.2151e-05  1.8616e-02
 1.0197e-02  1.2335e-05  1.7176e-02
 1.0265e-02  1.2350e-05  1.7049e-02
 1.0785e-02  1.2464e-05  1.6069e-02
 1.1278e-02  1.2571e-05  1.5408e-02
 1.1802e-02  1.2679e-05  1.4671e-02
 1.2383e-02  1.2797e-05  1.3869e-02
 1.2686e-02  1.2859e-05  1.3542e-02
 1.2765e-02  1.2875e-05  1.3459e-02
 1.4218e-02  1.3154e-05  1.1824e-02
 1.5621e-02  1.3409e-05  1.0757e-02
 1.5974e-02  1.3472e-05  1.0376e-02
 1.6317e-02  1.3533e-05  1.0201e-02
 1.6324e-02  1.3535e-05  1.0198e-02
 1.6329e-02  1.3535e-05  1.0195e-02
 1.6372e-02  1.3543e-05  1.0171e-02
 1.7747e-02  1.3777e-05  9.3582e-03
 1.8456e-02  1.3895e-05  8.9450e-03
 1.8743e-02  1.3942e-05  8.7724e-03
 1.9242e-02  1.4019e-05  8.5450e-03
 2.0858e-02  1.4266e-05  7.7942e-03
 2.1520e-02  1.4363e-05  7.4645e-03
 2.2411e-02  1.4490e-05  7.1853e-03
 2.3621e-02  1.4653e-05  6.7874e-03
 2.4708e-02  1.4798e-05  6.4200e-03
 2.6631e-02  1.5048e-05  5.9459e-03
 2.7037e-02  1.5099e-05  5.8410e-03
 2.8369e-02  1.5263e-05  5.5129e-03
 2.9000e-02  1.5340e-05  5.3913e-03
 3.0072e-02  1.5469e-05  5.1866e-03
 3.2571e-02  1.5763e-05  4.6744e-03
 3.5430e-02  1.6089e-05  4.2825e-03
 3.6240e-02  1.6179e-05  4.1687e-03
 3.7397e-02  1.6300e-05  4.0005e-03
 3.8286e-02  1.6395e-05  3.8587e-03
 3.9286e-02  1.6500e-05  3.6928e-03
 4.2938e-02  1.6879e-05  3.4375e-03
 4.3162e-02  1.6902e-05  3.4192e-03
 4.3375e-02  1.6924e-05  3.4017e-03
 4.4610e-02  1.7050e-05  3.2579e-03
 4.6241e-02  1.7209e-05  3.0574e-03
 4.8630e-02  1.7442e-05  2.9341e-03
 4.9299e-02  1.7509e-05  2.8986e-03
 5.2667e-02  1.7835e-05  2.7022e-03
 5.4732e-02  1.8032e-05  2.5793e-03
 5.6603e-02  1.8213e-05  2.4628e-03
 5.8996e-02  1.8451e-05  2.2997e-03
 5.9434e-02  1.8495e-05  2.2871e-03
 6.4150e-02  1.8926e-05  2.1464e-03
 6.4990e-02  1.9002e-05  2.1095e-03
 6.9081e-02  1.9386e-05  1.9020e-03
 6.9226e-02  1.9400e-05  1.8942e-03
 7.4618e-02  1.9900e-05  1.7763e-03
 7.7465e-02  2.0165e-05  1.7054e-03
 7.7482e-02  2.0167e-05  1.7049e-03
 8.5672e-02  2.0920e-05  1.4930e-03
 9.1471e-02  2.1464e-05  1.3899e-03
 9.3375e-02  2.1641e-05  1.3543e-03
 9.5709e-02  2.1856e-05  1.2938e-03
 9.6991e-02  2.1973e-05  1.2782e-03
 9.8364e-02  2.2103e-05  1.2611e-03
 1.0832e-01  2.3009e-05  1.1342e-03
 1.1256e-01  2.3413e-05  1.0757e-03
 1.1294e-01  2.3448e-05  1.0706e-03
 1.1425e-01  2.3570e-05  1.0553e-03
 1.2076e-01  2.4169e-05  9.8850e-04
 1.2967e-01  2.5000e-05  8.8897e-04
 1.3413e-01  2.5418e-05  8.5450e-04
 1.3443e-01  2.5446e-05  8.5223e-04
 1.4888e-01  2.6829e-05  7.0954e-04
 1.4939e-01  2.6879e-05  7.0093e-04
 1.5091e-01  2.7039e-05  6.7292e-04
 1.5242e-01  2.7208e-05  6.4222e-04
 1.5914e-01  2.7986e-05  5.1174e-04
 1.6551e-01  2.8818e-05  3.8026e-04
 1.7094e-01  2.9703e-05  2.8762e-04
 1.8297e-01  3.2597e-05  1.5808e-04
 1.8808e-01  3.4740e-05  1.2081e-04
 1.9626e-01  1.0000e+05  1.0000e+05
 2.0107e-01  1.0000e+05  1.0000e+05
 2.0461e-01  1.0000e+05  1.0000e+05
 2.0739e-01  1.0000e+05  1.0000e+05
 2.1501e-01  1.0000e+05  1.0000e+05
 2.1734e-01  1.0000e+05  1.0000e+05
 2.1860e-01  1.0000e+05  1.0000e+05
 2.2534e-01  1.0000e+05  1.0000e+05
 2.3047e-01  1.0000e+05  1.0000e+05
 2.3429e-01  1.0000e+05  1.0000e+05
 2.3601e-01  1.0000e+05  1.0000e+05
 2.4492e-01  1.0000e+05  1.0000e+05
 2.5211e-01  1.0000e+05  1.0000e+05
 2.5508e-01  1.0000e+05  1.0000e+05
 2.5685e-01  1.0000e+05  1.0000e+05
 2.5872e-01  1.0000e+05  1.0000e+05
 2.7004e-01  1.0000e+05  1.0000e+05
 2.7901e-01  1.0000e+05  1.0000e+05
 2.8018e-01  1.0000e+05  1.0000e+05
 2.8761e-01  1.0000e+05  1.0000e+05
 2.9706e-01  1.0000e+05  1.0000e+05
 2.9967e-01  1.0000e+05  1.0000e+05
 3.0268e-01  1.0000e+05  1.0000e+05
 3.0494e-01  1.0000e+05  1.0000e+05
 3.0700e-01  1.0000e+05  1.0000e+05
 3.1277e-01  1.0000e+05  1.0000e+05
 3.1338e-01  1.0000e+05  1.0000e+05
 3.1532e-01  1.0000e+05  1.0000e+05
 3.1593e-01  1.0000e+05  1.0000e+05
