#      mass       lower       upper
 1.0300e-03  4.2319e-04  1.4137e+00
 1.0416e-03  4.1423e-04  1.3607e+00
 1.0513e-03  4.0664e-04  1.3150e+00
 1.0692e-03  3.9221e-04  1.0808e+00
 1.1016e-03  3.6460e-04  9.6627e-01
 1.1125e-03  3.5480e-04  8.5852e-01
 1.1180e-03  3.4983e-04  7.8182e-01
 1.1266e-03  3.4179e-04  7.6885e-01
 1.1807e-03  3.0584e-04  6.8195e-01
 1.1826e-03  3.0453e-04  6.7767e-01
 1.2905e-03  2.9549e-04  5.8354e-01
 1.3333e-03  2.9223e-04  5.4170e-01
 1.3578e-03  2.9035e-04  5.2388e-01
 1.4317e-03  2.8870e-04  4.7005e-01
 1.5079e-03  2.8698e-04  4.4915e-01
 1.5590e-03  2.8593e-04  4.3455e-01
 1.5728e-03  2.8589e-04  4.3031e-01
 1.7371e-03  2.8537e-04  3.8116e-01
 1.7898e-03  2.8523e-04  3.6400e-01
 1.8447e-03  2.8551e-04  3.5311e-01
 1.9001e-03  2.8577e-04  3.4178e-01
 2.0550e-03  2.8650e-04  3.0999e-01
 2.2756e-03  2.8840e-04  2.8031e-01
 2.3368e-03  2.8889e-04  2.7150e-01
 2.3482e-03  2.8898e-04  2.6933e-01
 2.3595e-03  2.8907e-04  2.6828e-01
 2.4043e-03  2.8952e-04  2.6313e-01
 2.5962e-03  2.9146e-04  2.4180e-01
 2.7092e-03  2.9255e-04  2.2832e-01
 2.7578e-03  2.9307e-04  2.2214e-01
 2.8688e-03  2.9425e-04  2.1566e-01
 2.9582e-03  2.9520e-04  2.0851e-01
 3.1105e-03  2.9674e-04  1.9573e-01
 3.2421e-03  2.9813e-04  1.8355e-01
 3.3674e-03  2.9946e-04  1.7866e-01
 3.5499e-03  3.0130e-04  1.7130e-01
 3.5713e-03  3.0152e-04  1.7005e-01
 3.6126e-03  3.0194e-04  1.6805e-01
 3.8301e-03  3.0418e-04  1.5803e-01
 4.1004e-03  3.0682e-04  1.4462e-01
 4.3584e-03  3.0937e-04  1.3607e-01
 4.4417e-03  3.1019e-04  1.3328e-01
 4.7079e-03  3.1263e-04  1.2397e-01
 4.9458e-03  3.1484e-04  1.1863e-01
 5.3852e-03  3.1876e-04  1.0808e-01
 5.4054e-03  3.1894e-04  1.0759e-01
 5.6153e-03  3.2078e-04  1.0165e-01
 5.7928e-03  3.2228e-04  9.6349e-02
 6.2063e-03  3.2575e-04  9.1244e-02
 6.3720e-03  3.2710e-04  8.8953e-02
 6.5899e-03  3.2883e-04  8.5852e-02
 7.1258e-03  3.3305e-04  7.7990e-02
 7.2272e-03  3.3383e-04  7.7030e-02
 8.1046e-03  3.4028e-04  6.8195e-02
 8.1427e-03  3.4056e-04  6.7656e-02
 8.1814e-03  3.4084e-04  6.7386e-02
 8.1940e-03  3.4093e-04  6.7279e-02
 8.3146e-03  3.4179e-04  6.6234e-02
 8.3488e-03  3.4203e-04  6.5934e-02
 9.2853e-03  3.4847e-04  5.8059e-02
 9.3937e-03  3.4920e-04  5.7078e-02
 9.5456e-03  3.5033e-04  5.5639e-02
 9.8769e-03  3.5279e-04  5.4170e-02
 1.0501e-02  3.5737e-04  5.0333e-02
 1.0785e-02  3.5942e-04  4.8483e-02
 1.1852e-02  3.6770e-04  4.3909e-02
 1.2045e-02  3.6917e-04  4.3031e-02
 1.2383e-02  3.7173e-04  4.1500e-02
 1.3234e-02  3.7815e-04  3.8518e-02
 1.3361e-02  3.7910e-04  3.8106e-02
 1.4218e-02  3.8546e-04  3.5196e-02
 1.4612e-02  3.8838e-04  3.4179e-02
 1.5046e-02  3.9157e-04  3.3077e-02
 1.6324e-02  4.0087e-04  2.9590e-02
 1.6922e-02  4.0525e-04  2.8496e-02
 1.7628e-02  4.1039e-04  2.7150e-02
 1.8743e-02  4.1838e-04  2.4963e-02
 2.0369e-02  4.3031e-04  2.2776e-02
 2.1205e-02  4.3626e-04  2.1566e-02
 2.1319e-02  4.3708e-04  2.1405e-02
 2.1520e-02  4.3853e-04  2.1122e-02
 2.1842e-02  4.4110e-04  2.0761e-02
 2.2566e-02  4.4654e-04  1.9925e-02
 2.4708e-02  4.6222e-04  1.7648e-02
 2.5349e-02  4.6718e-04  1.7130e-02
 2.6662e-02  4.7720e-04  1.6087e-02
 2.8369e-02  4.9044e-04  1.4618e-02
 2.9741e-02  5.0072e-04  1.3819e-02
 3.0092e-02  5.0350e-04  1.3607e-02
 3.2571e-02  5.2294e-04  1.2102e-02
 3.3112e-02  5.2705e-04  1.1879e-02
 3.4978e-02  5.4170e-04  1.1074e-02
 3.5565e-02  5.4650e-04  1.0808e-02
 3.7397e-02  5.6119e-04  9.9878e-03
 3.8985e-02  5.7523e-04  9.2015e-03
 4.0768e-02  5.9056e-04  8.7968e-03
 4.1667e-02  5.9896e-04  8.5852e-03
 4.2938e-02  6.1061e-04  8.1535e-03
 4.5006e-02  6.3056e-04  7.6619e-03
 4.8251e-02  6.6427e-04  6.8195e-03
 4.9299e-02  6.7480e-04  6.5442e-03
 4.9516e-02  6.7699e-04  6.5065e-03
 4.9978e-02  6.8195e-04  6.4251e-03
 5.4293e-02  7.3099e-04  5.6084e-03
 5.5221e-02  7.4289e-04  5.4170e-03
 5.6603e-02  7.6028e-04  5.1442e-03
 5.9260e-02  7.9531e-04  4.7558e-03
 6.2092e-02  8.3839e-04  4.3031e-03
 6.3467e-02  8.5852e-04  4.1070e-03
 6.4345e-02  8.7291e-04  3.9767e-03
 6.4990e-02  8.8542e-04  3.8783e-03
 6.6855e-02  9.2563e-04  3.5832e-03
 6.8927e-02  9.6833e-04  3.4179e-03
 6.9192e-02  9.7364e-04  3.3894e-03
 7.3153e-02  1.0808e-03  2.9296e-03
 7.3793e-02  1.1010e-03  2.8484e-03
 7.4618e-02  1.1374e-03  2.7401e-03
 7.4892e-02  1.1500e-03  2.7151e-03
 7.5159e-02  1.1622e-03  2.6825e-03
 7.7702e-02  1.2719e-03  2.3385e-03
 7.8907e-02  1.3579e-03  2.1566e-03
 7.8948e-02  1.3607e-03  2.1501e-03
 8.0314e-02  1.5153e-03  1.9224e-03
 8.0701e-02  1.7131e-03  1.8529e-03
